City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
204,Petropavlovka,RU,2021-10-12 17:40:48,50.6114,105.3196,38.23,87,75,4.68
205,Pitimbu,BR,2021-10-12 17:40:48,-7.4706,-34.8086,86.59,60,45,11.21
206,Vilyuysk,RU,2021-10-12 17:40:48,63.7553,121.6247,22.87,86,100,9.78
207,Hualmay,PE,2021-10-12 17:40:49,-11.0964,-77.6139,67.1,73,57,11.61
208,Broome,US,2021-10-12 17:40:49,42.2506,-75.833,72.64,65,20,3.0
209,Pullman,US,2021-10-12 17:38:01,46.7313,-117.1796,46.99,53,1,3.0
210,El Cope,PA,2021-10-12 17:40:49,8.6167,-80.6,78.85,74,72,1.9
211,Ancud,CL,2021-10-12 17:40:50,-41.8697,-73.8203,60.33,68,13,8.75
212,Ouallam,NE,2021-10-12 17:40:50,14.3188,2.0866,98.8,14,91,6.78
213,Agadez,NE,2021-10-12 17:40:50,19.75,10.25,85.44,10,20,6.33
214,Prochnookopskaya,RU,2021-10-12 17:40:51,45.0666,41.1175,59.56,72,33,12.08
215,Coihaique,CL,2021-10-12 17:40:51,-45.5752,-72.0662,58.95,44,40,9.22
216,Urumqi,CN,2021-10-12 17:40:51,43.801,87.6005,45.55,61,0,2.24
217,Bhalki,IN,2021-10-12 17:40:52,18.0333,77.2167,71.04,76,6,4.23
218,Minot,US,2021-10-12 17:36:38,48.2325,-101.2963,48.11,60,90,4.0
219,Lewiston,US,2021-10-12 17:40:52,44.1003,-70.2148,79.05,64,99,1.01
220,Saint-Paul-Les-Dax,FR,2021-10-12 17:40:52,43.7272,-1.0516,63.14,81,46,4.61
221,Anupgarh,IN,2021-10-12 17:40:53,29.1911,73.2086,83.05,19,0,8.37
222,Bedesa,ET,2021-10-12 17:40:53,8.9,40.7833,64.89,74,78,2.62
223,Siavonga,ZM,2021-10-12 17:40:53,-16.5382,28.7088,79.32,39,6,3.91
224,Labuan,MY,2021-10-12 17:40:54,5.2767,115.2417,80.96,88,20,3.0
225,Matara,LK,2021-10-12 17:40:54,5.9485,80.5353,79.41,85,81,12.17
226,Abnub,EG,2021-10-12 17:40:54,27.2696,31.1511,85.21,26,51,8.14
227,Palana,RU,2021-10-12 17:40:55,59.1167,159.9667,30.52,98,100,12.8
228,Tilichiki,RU,2021-10-12 17:40:55,60.4667,166.1,19.13,71,24,5.61
229,Saint-Philippe,RE,2021-10-12 17:40:55,-21.3585,55.7679,72.99,90,63,5.5
230,Kalmunai,LK,2021-10-12 17:40:56,7.4167,81.8167,80.85,73,100,2.91
231,Alofi,NU,2021-10-12 17:40:56,-19.0595,-169.9187,71.49,73,0,5.75
232,Oia,PT,2021-10-12 17:40:56,40.5426,-8.5386,76.12,49,1,5.46
233,Guinguineo,SN,2021-10-12 17:40:56,14.2667,-15.95,94.82,46,0,6.91
234,Mirante Do Paranapanema,BR,2021-10-12 17:40:57,-22.2919,-51.9064,84.13,33,0,5.23
235,Tautira,PF,2021-10-12 17:40:57,-17.7333,-149.15,80.62,79,78,18.48
236,Emerald,AU,2021-10-12 17:40:57,-23.5333,148.1667,71.74,68,0,8.05
237,Abu Samrah,SY,2021-10-12 17:40:58,35.3029,37.1841,74.61,35,68,9.35
238,Yerbogachen,RU,2021-10-12 17:40:58,61.2767,108.0108,17.85,79,11,3.78
239,Alindao,CF,2021-10-12 17:40:59,5.0267,21.2088,72.36,95,35,2.55
240,Manokwari,ID,2021-10-12 17:40:59,-0.8667,134.0833,78.44,82,19,4.23
241,Juba,SS,2021-10-12 17:37:37,4.8517,31.5825,74.88,81,93,4.05
242,Alice Springs,AU,2021-10-12 17:40:27,-23.7,133.8833,63.95,48,0,0.0
243,Havoysund,NO,2021-10-12 17:41:00,70.9963,24.6622,41.88,86,99,23.13
244,Port Augusta,AU,2021-10-12 17:41:00,-32.5,137.7667,55.54,83,65,3.89
245,Vila Velha,BR,2021-10-12 17:41:00,-20.3297,-40.2925,73.35,78,75,10.36
246,Suez,EG,2021-10-12 17:41:01,29.9737,32.5263,79.05,49,87,14.9
247,Vao,NC,2021-10-12 17:41:01,-22.6667,167.4833,67.39,96,100,10.31
248,Narsaq,GL,2021-10-12 17:41:01,60.9167,-46.05,43.02,57,15,2.28
249,Swan River,CA,2021-10-12 17:41:02,52.1058,-101.2676,40.89,60,90,11.5
250,Bathsheba,BB,2021-10-12 17:41:03,13.2167,-59.5167,84.81,79,75,21.85
251,Ilulissat,GL,2021-10-12 17:41:03,69.2167,-51.1,30.22,69,75,0.0
252,Half Moon Bay,US,2021-10-12 17:36:37,37.4636,-122.4286,64.18,34,1,3.0
253,Mangaratiba,BR,2021-10-12 17:41:03,-22.9597,-44.0406,76.06,82,87,8.01
254,Araguaina,BR,2021-10-12 17:41:04,-7.1911,-48.2072,96.44,30,74,5.17
255,Florence,IT,2021-10-12 17:40:06,43.7667,11.25,62.51,57,0,3.44
256,Olafsvik,IS,2021-10-12 17:41:04,64.8945,-23.7142,44.28,95,100,15.66
257,Ypsonas,CY,2021-10-12 17:41:04,34.6884,32.9574,77.97,53,20,12.66
258,Gayny,RU,2021-10-12 17:41:05,60.3071,54.3241,39.65,86,99,4.59
259,Sangmelima,CM,2021-10-12 17:41:05,2.9333,11.9833,71.74,90,59,2.33
260,Miles City,US,2021-10-12 17:41:05,46.4083,-105.8406,35.51,100,90,11.5
261,Tomorkeny,HU,2021-10-12 17:41:06,46.6172,20.0436,53.17,79,99,3.15
262,Pacific Grove,US,2021-10-12 17:41:06,36.6177,-121.9166,64.42,44,1,3.0
263,Saskylakh,RU,2021-10-12 17:41:06,71.9167,114.0833,11.46,97,100,4.0
264,Jackson,US,2021-10-12 17:41:07,42.4165,-122.8345,47.44,69,36,2.33
265,Northam,GB,2021-10-12 17:41:07,51.0333,-4.2167,58.62,88,99,9.19
266,Itoman,JP,2021-10-12 17:41:07,26.1247,127.6694,81.37,92,75,11.5
267,Verkh-Tula,RU,2021-10-12 17:41:08,54.8839,82.7762,30.22,74,0,2.24
268,Esmeralda,CU,2021-10-12 17:41:08,21.8525,-78.1169,78.04,77,86,4.36
269,Grindavik,IS,2021-10-12 17:41:08,63.8424,-22.4338,49.95,100,90,25.32
270,Bethel,US,2021-10-12 17:41:09,41.3712,-73.414,73.89,69,1,5.75
271,Mvuma,ZW,2021-10-12 17:41:09,-19.2792,30.5283,62.51,23,0,7.23
272,Soubre,CI,2021-10-12 17:41:09,5.7856,-6.6083,77.04,96,78,5.5
273,Manasa,IN,2021-10-12 17:41:10,24.4837,75.2687,78.26,56,27,2.48
274,Inhambane,MZ,2021-10-12 17:41:10,-23.865,35.3833,68.88,67,1,9.51
275,Carnarvon,AU,2021-10-12 17:41:10,-24.8667,113.6333,62.67,72,0,18.41
276,Charters Towers,AU,2021-10-12 17:41:11,-20.1,146.2667,69.42,78,8,4.85
277,Salalah,OM,2021-10-12 17:41:11,17.0151,54.0924,78.89,89,20,4.61
278,Vanimo,PG,2021-10-12 17:41:11,-2.6741,141.3028,78.6,87,34,2.28
279,Pisco,PE,2021-10-12 17:41:12,-13.7,-76.2167,66.02,82,90,10.36
280,Ambon,ID,2021-10-12 17:41:12,-3.6954,128.1814,78.94,89,20,5.75
281,Bambous Virieux,MU,2021-10-12 17:41:12,-20.3428,57.7575,74.21,94,75,5.75
282,Vila,PT,2021-10-12 17:41:13,42.0304,-8.1588,65.28,45,0,1.99
283,Iqaluit,CA,2021-10-12 17:41:13,63.7506,-68.5145,33.53,100,90,15.99
284,Bonthe,SL,2021-10-12 17:41:13,7.5264,-12.505,81.09,77,98,7.18
285,Yenangyaung,MM,2021-10-12 17:41:14,20.4667,94.8833,77.85,91,56,3.04
